team,total_games,total_wins,total_losses,final_elo,avg_opp_elo
Minnesota Lynx,45,34,11,1443,1295
Atlanta Dream,44,30,14,1490,1297
Las Vegas Aces,44,30,14,1559,1291
New York Liberty,44,27,17,1344,1300
Phoenix Mercury,44,27,17,1333,1295
Indiana Fever,45,25,20,1347,1287
Golden State Valkyries,44,23,21,1303,1293
Seattle Storm,44,23,21,1295,1293
Los Angeles Sparks,44,21,23,1324,1302
Washington Mystics,44,16,28,1106,1300
Connecticut Sun,44,11,33,1173,1310
Chicago Sky,44,10,34,1085,1323
Dallas Wings,44,10,34,1098,1313
